varname,item,country,date,N,agree,disagree,dk
lbalcauru,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Uruguay,7/1/1996,1200,43.42,44.25,12.34
lbfreeuru,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Uruguay,12/20/1997,1189,47.27,38.77,13.96
usiaalcauru_job,(For respondents who say they know about the agreement) Do you think that the FTAAS will increase job opportunities?,Uruguay,12/3/2001,441,51.7,17.7,30.6
usiaalcauru_ind,Do you agree that the FTAAS will benefit the average individual?,Uruguay,12/3/2001,1000,36.3,54.4,9.3
usiaalcauru_dev,(For respondents who say they know about the agreement) Do you think that the FTAAS will contribute to the development of your country's economy?,Uruguay,12/3/2001,441,51.2,17.2,31.6
lbalcauru,Benefits of ALCA in the economic development of the country,Uruguay,4/20/2001,1200,60.75,25.91,13.33
cimaalcauru,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Uruguay,2/14/2003,400,26,30,44
cimagloburu,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Uruguay,2/14/2003,400,26,50,24
lbftauru_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Uruguay,8/28/2003,1200,48.58,33.33,18.08
cimaalcauru,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Uruguay,5/30/2004,212,24,30,46
cimagloburu,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Uruguay,5/30/2004,212,30,49,21
lbftauru_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Uruguay,6/23/2004,1200,32.92,20.83,46.25
lbalcauru,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Uruguay,6/23/2004,1200,52.25,21.67,26.09
lbftauru_job,impact of economic integration agreements on job opportunities,Uruguay,11/5/2006,1200,54.33,12.5,33.17
lbftauru_acc,impact of economic integration agreements on access to goods,Uruguay,11/5/2006,1200,60.16,13.5,26.33
lbftauru_ind,impact of economic integration agreements on quality of life,Uruguay,11/5/2006,1200,55.08,15.41,29.5
lbftauru_dev,impact of economic integration agreements on country development,Uruguay,11/5/2006,1200,66.67,11.99,21.25
lbfreeuru,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Uruguay,11/5/2006,1200,73.59,18.91,7.5
lbfreeuru,Agree with the elimination of import and export taxes in order to increase regional integration,Uruguay,10/9/2007,1200,60.41,23.75,15.84
lbftauru_job,International free trade treaties have a very positive impact on job opportunities,Uruguay,10/9/2007,1200,48.42,10.66,40.92
lapftauru,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Uruguay,5/30/2008,1500,54.2,17.8,28
cimaftauru,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Uruguay,3/31/2009,350,57,17,26
cimagloburu,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Uruguay,3/31/2009,350,48,29,23
lapftauru,To what extent do you think that free trade agreements with other countries in Latin America will help improve [country's] economy?,Uruguay,4/30/2010,1500,65.6,9.4,25
cimaftauru,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Uruguay,4/30/2011,400,80,,
lbfreeuru,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Uruguay,2/15/2015,1200,74.92,9.92,15.17
lbfreeuru,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Uruguay,6/15/2016,1200,78,16.58,5.42
lbfreeuru,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Uruguay,8/28/2017,1200,82.58,13.83,3.58
usiausftaven,Do you agree that a FTA with the United States will be beneficial to the economic development of your country?,Venezuela,8/28/1990,1000,48,39.4,12.6
usiauspolven,Do you think that the free trade policy of the US toward Latin America is beneficial to the economy of your country?,Venezuela,8/26/1993,1400,36.3,28.7,35
usiaalcaven,Do you agree with your country joining NAFTA or a FTA with the US and Canada?,Venezuela,8/26/1993,1400,40.5,20.7,38.8
lbalcaven,"All things considered, would you say that [nation] benefits or not from its future links with regional trading block? (benefits, doesn't benefit, dk)",Venezuela,6/30/1995,1200,51.33,15.58,33.08
lbfreeven,"Do you think that trade with other countries, both the buying and selling of products, helps [nation's] economy or harms [nation's] economy? (helps, harms)",Venezuela,7/1/1996,1500,61.27,22.73,16
lbalcaven,"All things considered, would you say that [nation] benefits or not from its future links with [regional trading block] (Much Benefit, Some benefit, Low benefit, Doesn't benefit at all)",Venezuela,7/1/1996,1500,40.33,34.6,25.07
usiauspolven,Do you think that the free trade policy of the US toward Latin America is beneficial to the economy of your country?,Venezuela,8/31/1997,944,63.5,19,17.5
lbfreeven,"How do you think imports influence over the economy? (Help a lot, help a little, damage a little, damage a lot)",Venezuela,12/21/1997,1200,65.33,25.75,8.92
wsjfreeven,Do you think that free trade is good or bad for our country?,Venezuela,3/30/1998,0,81,,
usiaalcaven,Do you think that the FTAAS will contribute to the development of your country's economy?,Venezuela,12/5/2000,1046,30.2,34.8,35
lbalcaven,Benefits of ALCA in the economic development of the country,Venezuela,4/25/2001,1200,72.75,16.58,10.67
pewglobven,What do you think about the growing trade and business ties between your country and other countries?,Venezuela,7/27/2002,800,86,12,1
cimaalcaven,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Venezuela,2/14/2003,301,52,20,28
cimaglobven,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Venezuela,2/14/2003,301,50,34,16
lbftaven_ind,"How do you think the Free Trade Agreements (NAFTA, CAFTA) and the Commercial Agreements benefit you and your family?",Venezuela,8/6/2003,1200,29.75,51.42,18.83
cimaalcaven,¨Considera usted que pertenecer al ALCA ser  ben‚fico para el pa¡s o perjudicial para el pa¡s?,Venezuela,5/30/2004,500,59,22,19
cimaglobven,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Venezuela,5/30/2004,500,47,25,28
lbftaven_job,"Do you believe that free trade treaties have a very positive, positive, negative, very negative impact over job opportunities",Venezuela,6/13/2004,1200,44.33,16,39.67
lbalcaven,"Do you think that having free trade between your country, other Latin American countries, and the U.S. would lead to greater economic prosperity",Venezuela,6/13/2004,1200,58.67,17.75,23.58
lbftaven_job,impact of economic integration agreements on job opportunities,Venezuela,11/5/2006,1200,70.5,11.41,18.08
lbftaven_acc,impact of economic integration agreements on access to goods,Venezuela,11/5/2006,1200,70.58,12.42,17
lbftaven_ind,impact of economic integration agreements on quality of life,Venezuela,11/5/2006,1200,71.92,11.75,16.33
lbftaven_dev,impact of economic integration agreements on country development,Venezuela,11/5/2006,1200,72.25,11.08,16.67
lbfreeven,Do you agree with economic integration agreements that allow you to freely buy goods and services from any other country in the region and that that country can freely sell goods and services in your country,Venezuela,11/5/2006,1200,71.16,18.33,10.5
pewglobven,What do you think about the growing trade and business ties between your country and other countries?,Venezuela,5/21/2007,803,79,19,2
lbfreeven,Agree with the elimination of import and export taxes in order to increase regional integration,Venezuela,10/9/2007,1200,41.84,41.91,16.25
lbftaven_job,International free trade treaties have a very positive impact on job opportunities,Venezuela,10/9/2007,1200,46.75,17.83,35.41
cimaftaven,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Venezuela,3/31/2009,891,41,44,15
cimaglobven,¨Usted considera que la globalizaci¢n ha sido positiva para el pa¡s o ha sido negativa para el pa¡s?,Venezuela,3/31/2009,891,55,33,12
cimaftaven,"Se ha venido realizando convenios entre dos o m s pa¡ses, para el intercambio de sus productos (tratados de libre comercio o T.L.C). ¨Usted cree que tales tratados son ben‚ficos o perjudiciales para el pa¡s?",Venezuela,4/30/2011,500,67,,
pewglobven,What do you think about the growing trade and business ties between your country and other countries?,Venezuela,5/10/2014,1000,75,19,6
lbfreeven,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Venezuela,2/15/2015,1200,72.09,24.25,3.67
lbfreeven,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Venezuela,6/15/2016,1200,89,8.42,2.58
lbfreeven,That (country) can buy goods and services from any other country and that any other country can sell goods and services,Venezuela,8/28/2017,1200,91.75,6.67,1.58
